,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
10,10,05/10/2023 15:32:01.955709,222,True,True,True,True,Eyes,1.172811,-0.3131096,-2.791974,-0.1551889,-0.1536332,0.9758654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.175058,1.040164,2.610435,1.157976,-0.3111345,-2.799886,0.1306283,0.004844861,0.006864818,0.9913958,15.0073,0.6762418,0.8825385,0.3842451,-0.1029276,-0.9174741,0,0,0,0.8339175,-0.672672,-0.66381,-0.3460801,0.2082402,2.153,0.9998588,0.01487726,-0.00781287,-0.01234575,0.9657782,0.2590752,0.01139983,-0.2589422,0.9658256,static,-9.035908,-8.946801,-9.131791,5.524517,-9.054650020458952,4.292077978812374,14.471635643796903,1.2348508702148882,14.292778853343881
11,11,05/10/2023 15:32:01.971995,223,True,True,True,True,Eyes,1.172817,-0.3131079,-2.791976,-0.1549631,-0.1536291,0.9759019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.175261,1.039492,2.61055,1.157912,-0.3111144,-2.799857,0.1305586,0.004863494,0.006747297,0.9914058,14.99932,0.6765369,0.8689384,0.3843436,-0.1029195,-0.9174339,0,0,0,0.8339133,-0.6722746,-0.6637082,-0.3460801,0.20824,2.153,0.9998617,0.01464856,-0.007881556,-0.01210868,0.9658179,0.2589387,0.01140523,-0.2588075,0.9658616,static,-9.022649,-8.946235,-9.13179,5.524513,-9.041607080135762,4.292409819741135,14.471159574732946,1.2353992090977106,14.292630700269369
12,12,05/10/2023 15:32:01.981929,224,True,True,True,True,Eyes,1.172807,-0.3131056,-2.791981,-0.1547535,-0.1535992,0.9759399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.174489,1.038876,2.611161,1.157847,-0.3111282,-2.799899,0.13044,0.004727193,0.006725725,0.9914222,14.98573,0.6600434,0.8641813,0.3844323,-0.1029121,-0.9173976,0,0,0,0.8332518,-0.6717548,-0.6637509,-0.34608,0.20824,2.153,0.9998648,0.01456929,-0.007618682,-0.01210283,0.9658804,0.2587056,0.01112789,-0.2585785,0.9659262,static,-9.010296,-8.94418,-9.13179,5.524512,-9.029500625696096,4.294196871695224,14.469202085218797,1.2345600151596847,14.290995788929909
13,13,05/10/2023 15:32:02.001961,225,True,True,True,True,Eyes,1.172796,-0.3131031,-2.791987,-0.154569,-0.1535668,0.9759743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.173583,1.038098,2.611886,1.157747,-0.3111197,-2.79995,0.1302873,0.004576211,0.006719113,0.991443,14.96823,0.6420203,0.8609304,0.3845119,-0.1029053,-0.9173651,0,0,0,0.8324928,-0.6710758,-0.663789,-0.34608,0.2082399,2.153,0.9998679,0.01451568,-0.007323275,-0.01213079,0.9659601,0.2584063,0.01082494,-0.2582833,0.9660086,static,-8.999418,-8.942013,-9.131789,5.524509,-9.018850318078886,4.296116270349225,14.467127595280447,1.2335736070996979,14.289210077028107
14,14,05/10/2023 15:32:02.021992,226,True,True,True,True,Eyes,1.172784,-0.3131022,-2.791991,-0.1544094,-0.1535373,0.9760041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.172389,1.03794,2.612549,1.157711,-0.3111134,-2.800025,0.1302432,0.004363819,0.006721281,0.9914497,14.96331,0.6170288,0.8578658,0.3845831,-0.1028992,-0.9173359,0,0,0,0.8315362,-0.6708683,-0.6639704,-0.3460801,0.2082401,2.153,0.9998716,0.01446434,-0.006902212,-0.01219091,0.965983,0.2583178,0.01040382,-0.2582005,0.9660353,static,-8.990009,-8.940054,-9.131791,5.524515,-9.009640769131916,4.297858347379993,14.465263858336115,1.2327234979175365,14.287595476559042
15,15,05/10/2023 15:32:02.032227,227,True,True,True,True,Eyes,1.172772,-0.3131017,-2.791995,-0.1542576,-0.1535113,0.9760323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.171548,1.038578,2.612583,1.157626,-0.3111545,-2.799972,0.1302909,0.004262401,0.006865798,0.9914429,14.96883,0.6073852,0.8733367,0.3846469,-0.1028936,-0.9173099,0,0,0,0.831036,-0.6712061,-0.6640308,-0.34608,0.20824,2.153,0.9998694,0.0147248,-0.006662751,-0.01250339,0.9659542,0.2584106,0.01024096,-0.2582936,0.9660122,static,-8.981058,-8.938313,-9.13179,5.524513,-9.000875878909522,4.299396980622598,14.463611445351399,1.2320908116027904,14.286175533695845
16,16,05/10/2023 15:32:02.052274,228,True,True,True,True,Eyes,1.172776,-0.3130992,-2.792001,-0.1541217,-0.1534998,0.9760555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.17122,1.038961,2.612545,1.157608,-0.3111673,-2.799947,0.1302981,0.004242213,0.007010886,0.9914411,14.96959,0.6072605,0.8900945,0.3847038,-0.1028886,-0.9172866,0,0,0,0.8309537,-0.6713455,-0.6640369,-0.34608,0.2082401,2.153,0.9998657,0.01500726,-0.006584798,-0.01279626,0.9659466,0.2584252,0.01023882,-0.2583062,0.9660088,static,-8.973066,-8.937445,-9.13179,5.524515,-8.99302971595213,4.300106668362348,14.46283099361173,1.2322459896517188,14.285598091797393
17,17,05/10/2023 15:32:02.072090,229,True,True,True,True,Eyes,1.172779,-0.3130968,-2.792005,-0.1539881,-0.1534794,0.9760798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.170595,1.039253,2.612758,1.157577,-0.3111182,-2.800012,0.1303049,0.004162541,0.007126559,0.9914398,14.97037,0.5996855,0.9024734,0.3847552,-0.102884,-0.9172657,0,0,0,0.830596,-0.6713986,-0.664169,-0.3460801,0.2082401,2.153,0.9998637,0.0152159,-0.006396566,-0.01304631,0.9659398,0.2584381,0.01011107,-0.2583195,0.9660066,static,-8.965194,-8.93606,-9.13179,5.524515,-8.985317062724606,4.301318458572288,14.461534619736627,1.2319351039380273,14.284504346453359
18,18,05/10/2023 15:32:02.082197,230,True,True,True,True,Eyes,1.172772,-0.3130918,-2.792007,-0.1538479,-0.1534654,0.9761041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.170644,1.038797,2.612886,1.157582,-0.311122,-2.79998,0.1301669,0.004200717,0.007250877,0.9914567,14.95432,0.6059415,0.9175627,0.3848014,-0.1028797,-0.9172469,0,0,0,0.8307824,-0.6708939,-0.6640234,-0.34608,0.20824,2.153,0.9998596,0.01547145,-0.006442009,-0.01328427,0.9660081,0.2581706,0.01021731,-0.2580488,0.9660778,static,-8.956947,-8.935038,-9.13179,5.524514,-8.977224294099885,4.302172978589871,14.460609050636595,1.232074725843509,14.283788128668474
19,19,05/10/2023 15:32:02.107129,231,True,True,True,True,Eyes,1.172768,-0.3130887,-2.79201,-0.1537033,-0.1534479,0.9761297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.171066,1.038655,2.61266,1.157545,-0.3110686,-2.799914,0.1301163,0.004308952,0.007347668,0.9914621,14.94831,0.620106,0.9305706,0.3848428,-0.1028758,-0.9172301,0,0,0,0.8312276,-0.6706935,-0.6638594,-0.34608,0.20824,2.153,0.9998549,0.0156912,-0.006632224,-0.01344854,0.9660316,0.2580741,0.01045643,-0.2579475,0.9661024,static,-8.948431,-8.933802,-9.131789,5.524514,-8.96887290742893,4.303230147625438,14.459478611347643,1.2321022284248477,14.28287901732586
