,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError
10,10,05/04/2023 10:12:23.878889,216,True,True,True,True,1.297996,-0.2622702,-3.010275,-0.276154,0.09319384,0.9565845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.336221,0.5859114,2.960168,1.306855,-0.2621613,-3.019068,0.05632164,0.004177297,-0.005119565,0.9983909,6.459725,0.4477181,359.4377,0.7827436,-0.1009861,-1.070139,-0.5409811,0.3740945,1.915,0.9999126,-0.009752108,-0.008917835,0.0106932,0.9936033,0.1124192,0.007764466,-0.1125048,0.9936208,moving,-16.10277,5.564398,-15.77481,11.0535,-14.825265784371028,15.15221103664059,5.498890663397845,4.207263526250029
11,11,05/04/2023 10:12:23.897938,217,True,True,True,True,1.298046,-0.2622937,-3.010268,-0.2746312,0.09212898,0.9571258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337077,0.5881032,2.959421,1.306884,-0.2623275,-3.019114,0.0567863,0.004274952,-0.005392069,0.9983627,6.513236,0.4569379,359.4071,0.787761,-0.1032519,-1.070236,-0.5370259,0.3713595,1.915,0.9999052,-0.01028096,-0.009148297,0.011252,0.9934925,0.1133405,0.007923515,-0.1134327,0.9935141,moving,-16.00994,5.498116,-15.66516,10.97466,-14.738796664106468,15.087700451358767,5.487386211333772,4.216070538380652
12,12,05/04/2023 10:12:23.909071,218,True,True,True,True,1.298092,-0.2623131,-3.01027,-0.2731688,0.09104599,0.9576479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337465,0.591525,2.958505,1.306886,-0.2625412,-3.019038,0.0571831,0.004384472,-0.005058492,0.9983413,6.558688,0.4715346,359.4464,0.7926307,-0.1056923,-1.070396,-0.5332214,0.3687286,1.915,0.9999103,-0.009598766,-0.009332919,0.01060164,0.993409,0.1141321,0.008175878,-0.1142209,0.9934218,moving,-15.92078,5.43093,-15.55957,10.89878,-14.655770941722972,15.022348699886956,5.4797679044463194,4.221453725960981
13,13,05/04/2023 10:12:23.929172,219,True,True,True,True,1.298131,-0.2623273,-3.01027,-0.2715623,0.08983936,0.9582186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337618,0.5972963,2.957468,1.30682,-0.2624188,-3.019265,0.05806557,0.004451233,-0.004816594,0.9982913,6.659899,0.4804006,359.4751,0.7960356,-0.1108891,-1.070805,-0.5293108,0.3660243,1.915,0.9999139,-0.009099799,-0.00944661,0.01013365,0.9932104,0.1158898,0.008327897,-0.1159756,0.9932172,moving,-15.8229,5.356203,-15.45093,10.82074,-14.564632008379592,14.949671912201712,5.4771823326660405,4.222985065750061
14,14,05/04/2023 10:12:23.948974,220,True,True,True,True,1.298164,-0.2623416,-3.010274,-0.2700141,0.08870322,0.9587618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337925,0.5973798,2.95726,1.306821,-0.262273,-3.019226,0.05810527,0.004502934,-0.004814076,0.9982888,6.66448,0.4863535,359.4757,0.7998651,-0.1131978,-1.071011,-0.5254168,0.3633317,1.915,0.9999131,-0.009088388,-0.009549905,0.01013496,0.9932012,0.1159683,0.008431011,-0.116055,0.993207,moving,-15.7287,5.285873,-15.34264,10.743,-14.476908427437811,14.881255196709615,5.470765706711356,4.22784191152237
15,15,05/04/2023 10:12:23.958996,221,True,True,True,True,1.298225,-0.2623567,-3.010278,-0.2683558,0.08748226,0.9593393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338191,0.595672,2.957563,1.306742,-0.2622973,-3.019335,0.05781132,0.00456232,-0.004810181,0.9983055,6.63077,0.4933577,359.4764,0.8039718,-0.1157872,-1.071148,-0.5217157,0.3607724,1.915,0.9999121,-0.009076553,-0.009665345,0.01013157,0.9932694,0.1153828,0.008553012,-0.1154706,0.9932741,moving,-15.62789,5.210398,-15.23961,10.66907,-14.38303077756588,14.80783565107988,5.472463920573986,4.226477147562083
16,16,05/04/2023 10:12:23.978894,222,True,True,True,True,1.298282,-0.2623717,-3.01028,-0.2667763,0.08634803,0.9598826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337491,0.5955037,2.957917,1.306645,-0.2622975,-3.019381,0.05771409,0.004482698,-0.004663349,0.9983122,6.619496,0.4852114,359.4928,0.808543,-0.1195939,-1.071173,-0.5178515,0.3581002,1.915,0.9999163,-0.008793525,-0.009488546,0.009828386,0.9932947,0.1151915,0.008411983,-0.1152752,0.993298,moving,-15.53199,5.140313,-15.13192,10.59184,-14.293713388361978,14.73964138000134,5.466187211999695,4.231648214553605
17,17,05/04/2023 10:12:24.008850,223,True,True,True,True,1.298365,-0.2623847,-3.010276,-0.26516,0.08518169,0.9604344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.336619,0.5931069,2.958737,1.306593,-0.262256,-3.019352,0.0572665,0.004362375,-0.00455612,0.9983391,6.56801,0.4722674,359.5042,0.8129009,-0.1219258,-1.071304,-0.5139765,0.3554206,1.915,0.9999204,-0.008597469,-0.009232084,0.009596741,0.9933996,0.114303,0.008188432,-0.1143825,0.9934031,moving,-15.43394,5.068347,-15.02383,10.51436,-14.202395761940444,14.669620174699652,5.461432761489332,4.235674837248661
18,18,05/04/2023 10:12:24.008850,224,True,True,True,True,1.298445,-0.262398,-3.010272,-0.2636167,0.08408202,0.960956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.335177,0.5917126,2.959561,1.30663,-0.2622609,-3.019231,0.05688423,0.004161983,-0.004234433,0.9983632,6.52389,0.4514737,359.5397,0.8165814,-0.1250175,-1.07157,-0.5101289,0.3527599,1.915,0.9999295,-0.007981502,-0.008792087,0.008928506,0.9934925,0.113547,0.007828596,-0.1136175,0.9934937,moving,-15.34043,5.000548,-14.9164,10.43738,-14.115300515881312,14.603644450327176,5.453342428009082,4.242584100936036
19,19,05/04/2023 10:12:24.018645,225,True,True,True,True,1.298536,-0.2624192,-3.010264,-0.2619545,0.08295036,0.9615088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.334378,0.5904115,2.960173,1.306631,-0.2622837,-3.019222,0.05658286,0.004053354,-0.004064551,0.9983814,6.489175,0.4401987,359.5584,0.8201433,-0.1279498,-1.071975,-0.5061523,0.3500101,1.915,0.9999341,-0.007657243,-0.008553554,0.008574645,0.9935638,0.1129496,0.007633619,-0.1130155,0.993564,moving,-15.23986,4.930758,-14.80524,10.35779,-14.021607509488051,14.535697468883194,5.444407302307938,4.250763543027999
20,20,05/04/2023 10:12:24.038685,226,True,True,True,True,1.29862,-0.262442,-3.010262,-0.2603654,0.08178276,0.9620402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.334375,0.5899721,2.96018,1.30661,-0.2624723,-3.019133,0.05643361,0.004071355,-0.003961228,0.9983903,6.472008,0.4430029,359.5704,0.8236868,-0.129835,-1.072499,-0.5023188,0.3473592,1.915,0.9999354,-0.00745018,-0.008576695,0.008369225,0.9935991,0.1126533,0.00768251,-0.1127178,0.9935973,moving,-15.14368,4.859015,-14.69798,10.28102,-13.932039596443516,14.46590550819509,5.4402928882574875,4.254401417179807
21,21,05/04/2023 10:12:24.058561,227,True,True,True,True,1.298721,-0.2624635,-3.010256,-0.258679,0.08055586,0.9625985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333775,0.5962751,2.959311,1.306527,-0.2625148,-3.019287,0.05746513,0.003986399,-0.003922749,0.9983319,6.590349,0.4330801,359.5747,0.8283533,-0.1331912,-1.07264,-0.4980755,0.3444248,1.915,0.9999374,-0.007374253,-0.008410341,0.008290568,0.9933647,0.1147072,0.007508654,-0.1147698,0.9933637,moving,-15.04173,4.783699,-14.57914,10.196,-13.837093194863764,14.392630036634957,5.432033838508463,4.261729358535056
22,22,05/04/2023 10:12:24.078660,228,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333114,0.5981127,2.959095,1.306567,-0.2625101,-3.01913,0.05770314,0.003892031,-0.003759477,0.9983192,6.617559,0.423209,359.5929,0.8323331,-0.1350691,-1.072797,-0.4946087,0.3420275,1.915,0.9999414,-0.00705715,-0.008204846,0.007955479,0.9933124,0.115183,0.007337112,-0.1152416,0.9933104,moving,-14.94436,4.712,-14.48194,10.1265,-13.746410515839186,14.322871093600334,5.434210384812131,4.260344349612404
23,23,05/04/2023 10:12:24.088666,229,True,True,True,True,1.298819,-0.2624804,-3.010249,-0.257067,0.07938656,0.9631273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332226,0.5967193,2.959839,1.306607,-0.2623875,-3.019185,0.05755006,0.003715616,-0.003910994,0.9983281,6.599977,0.4019414,359.5742,0.836316,-0.1391502,-1.073176,-0.4906797,0.3393107,1.915,0.9999418,-0.007381242,-0.007868964,0.008236578,0.9933454,0.1148786,0.006968652,-0.1149368,0.9933484,moving,-14.94436,4.712,-14.37168,10.04771,-13.746410515839186,14.322871093600334,5.366354776428782,4.32064396867605
