,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError
10,10,05/04/2023 10:11:00.707664,222,True,True,True,True,1.306358,-0.2635774,-3.00431,-0.01620764,-0.1806338,0.9834169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.315309,0.798349,2.912666,1.304155,-0.2613846,-3.013616,0.09003755,0.001956079,0.0004559772,0.9959365,10.33141,0.2317011,0.07341096,1.312776,-1.034276,-1.008741,-1.809094e-07,-0.4008,2.111,0.999992,0.00126049,-0.00381415,-0.0005560073,0.983786,0.1793451,0.003978371,-0.1793416,0.9837788,static,-0.9442029,-10.40806,-4.91016e-06,-10.75037,-0.7417292132023695,-0.3368754712339594,1.0043336000144056,10.439876591337848
11,11,05/04/2023 10:11:00.727462,223,True,True,True,True,1.306419,-0.2636518,-3.004321,-0.01590158,-0.1902179,0.981613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.317853,0.7974329,2.911843,1.304143,-0.2614273,-3.013691,0.08985596,0.00239914,0.0005305537,0.9959519,10.31046,0.2838559,0.08665343,1.314683,-1.033586,-1.008542,-2.272427e-07,-0.4007999,2.111,0.999988,0.001487966,-0.004683507,-0.000625658,0.9838513,0.1789869,0.004874201,-0.1789819,0.9838403,static,-0.928078,-10.96691,-6.167716e-06,-10.75037,-0.730571929111212,-0.8747839795827552,0.9529988968928458,9.902571664895108
12,12,05/04/2023 10:11:00.737512,224,True,True,True,True,1.306481,-0.263728,-3.004337,-0.01557401,-0.1993919,0.9797961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.320202,0.794485,2.911607,1.304153,-0.2614063,-3.013709,0.08933315,0.002807521,0.0006165148,0.9959977,10.25025,0.332043,0.1007122,1.316483,-1.031457,-1.007761,-1.406297e-07,-0.4008002,2.111,0.9999835,0.001729704,-0.005482418,-0.000726485,0.9840384,0.1779547,0.005702719,-0.1779478,0.9840234,static,-0.9106488,-11.50282,-3.816907e-06,-10.75038,-0.7180312515983045,-1.3906275116125038,1.181287534359205,9.38725359414804
13,13,05/04/2023 10:11:00.767449,225,True,True,True,True,1.30663,-0.2637959,-3.004349,-0.01531608,-0.2081017,0.9779873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.322034,0.7934356,2.911266,1.304251,-0.2615055,-3.013856,0.08905206,0.003136348,0.0008260895,0.9960216,10.2178,0.3723063,0.1283268,1.318186,-1.030419,-1.007482,-3.72529e-09,-0.4008001,2.111,0.999979,0.002204202,-0.006100612,-0.001087009,0.9841381,0.1774007,0.006394872,-0.1773904,0.9841198,static,-0.8972255,-12.01256,-1.011101e-07,-10.75038,-0.7090574792412261,-1.8812562283693768,1.548583794572687,8.897422033487317
14,14,05/04/2023 10:11:00.777500,226,True,True,True,True,1.30677,-0.2638583,-3.004367,-0.0150642,-0.2164519,0.9761771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.323083,0.7942672,2.910605,1.304211,-0.2614534,-3.013919,0.08915246,0.003342479,0.0009526496,0.996012,10.22927,0.3975469,0.1451853,1.319147,-1.030769,-1.007706,-1.844019e-07,-0.4008001,2.111,0.9999759,0.002493682,-0.006488436,-0.001301721,0.9841019,0.1776002,0.006828161,-0.1775874,0.9840813,static,-0.8841089,-12.50216,-5.00495e-06,-10.75037,-0.7002288030496218,-2.352501790760229,1.9622456271686735,8.42701037303177
15,15,05/04/2023 10:11:00.787563,227,True,True,True,True,1.299472,-0.2653828,-3.005085,0.001802278,-0.3665854,0.9303827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.323236,0.7937763,2.910729,1.304135,-0.2613724,-3.014016,0.08906666,0.003386535,0.0009847407,0.9960195,10.21938,0.4029702,0.1493268,1.319291,-1.030341,-1.007672,-4.284084e-08,-0.4008001,2.111,0.9999751,0.002564897,-0.006570694,-0.001358387,0.9841323,0.1774309,0.006921524,-0.1774176,0.9841113,static,0.1109896,-21.50522,-1.162766e-06,-10.75037,0.1681609184570002,-11.02395612694939,10.75542270075516,0.32113525876243865
16,16,05/04/2023 10:11:00.807658,228,True,True,True,True,1.299472,-0.2653818,-3.005091,0.001786613,-0.3666189,0.9303695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.322771,0.7923469,2.911317,1.304057,-0.2615263,-3.014024,0.08875059,0.003338475,0.001083124,0.9960477,10.18298,0.3983423,0.1601009,1.319129,-1.02922,-1.007191,-8.6613e-08,-0.4007999,2.111,0.9999754,0.00275027,-0.006458304,-0.001565104,0.9842443,0.1768069,0.006842816,-0.1767924,0.9842244,static,0.1100265,-21.50728,-2.35081e-06,-10.75037,0.1672444207477164,-11.02593092209796,10.757472709522,0.32234345717566004
17,17,05/04/2023 10:11:00.827501,229,True,True,True,True,1.299563,-0.2653771,-3.005085,0.001652896,-0.3667219,0.9303291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.321058,0.7948169,2.911567,1.304087,-0.2615597,-3.014149,0.08902077,0.003098717,0.001380902,0.996024,10.21399,0.3736863,0.192268,1.318519,-1.030339,-1.007727,-6.891787e-08,-0.4007998,2.111,0.999977,0.003302524,-0.005926935,-0.002199123,0.9841467,0.1773422,0.006418652,-0.1773251,0.9841315,static,0.1017961,-21.51362,-1.870537e-06,-10.75036,0.1594917664753572,-11.031967428434946,10.763741387380385,0.32363708686918513
18,18,05/04/2023 10:11:00.838501,230,True,True,True,True,1.29965,-0.2653769,-3.005085,0.00149579,-0.3668122,0.9302937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.319442,0.7960219,2.911837,1.30418,-0.2614876,-3.013986,0.08913206,0.002852535,0.001609653,0.9960145,10.22676,0.3475378,0.2162895,1.317862,-1.030713,-1.00773,-3.259629e-08,-0.4008,2.111,0.9999786,0.003714981,-0.00539539,-0.002697971,0.9841058,0.1775628,0.005969276,-0.1775444,0.9840947,static,0.09212402,-21.51918,-8.847134e-07,-10.75037,0.1503944587761164,-11.037242044118813,10.769204047382908,0.32390481478396627
19,19,05/04/2023 10:11:00.857802,231,True,True,True,True,1.299751,-0.2653779,-3.005083,0.001282585,-0.3669648,0.930234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.317776,0.794999,2.912951,1.304203,-0.2616552,-3.01404,0.08887719,0.002584031,0.001699614,0.9960378,10.19747,0.3172579,0.2238435,1.31688,-1.029855,-1.007383,-4.982576e-08,-0.4008002,2.111,0.9999809,0.003845082,-0.004845471,-0.002926437,0.9841959,0.1770589,0.005449698,-0.1770413,0.9841884,static,0.07899801,-21.52857,-1.352348e-06,-10.75038,0.1380354568588362,-11.046175212962645,10.77847951129246,0.3264183951734659
20,20,05/04/2023 10:11:00.877762,232,True,True,True,True,1.299849,-0.2653725,-3.005078,0.001061952,-0.3671223,0.9301721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.317161,0.7985555,2.912326,1.304227,-0.2616167,-3.0141,0.08977803,0.002358353,0.001032225,0.9959586,10.30136,0.2843592,0.1443962,1.315189,-1.033455,-1.00883,-9.778887e-09,-0.4008,2.111,0.9999867,0.002479563,-0.0045123,-0.00163265,0.9838777,0.1788352,0.004882985,-0.1788255,0.9838687,static,0.06541301,-21.53826,-2.65414e-07,-10.75037,0.12524448573058,-11.055393476072645,10.788088317616815,0.32973560415082115
21,21,05/04/2023 10:11:00.887563,233,True,True,True,True,1.299982,-0.2653717,-3.005077,0.0007178783,-0.3673649,0.9300766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.316657,0.7986538,2.912464,1.304264,-0.261456,-3.014037,0.08992769,0.00222341,0.0007872012,0.9959456,10.31866,0.2661688,0.1146066,1.314381,-1.033901,-1.008996,-1.788139e-07,-0.4008002,2.111,0.9999889,0.001967911,-0.004287207,-0.001168127,0.9838247,0.1791296,0.004570372,-0.1791227,0.9838162,static,0.04422366,-21.5532,-4.853285e-06,-10.75038,0.1052948593559059,-11.06960424201054,10.80291053900695,0.3361430442080589
22,22,05/04/2023 10:11:00.907775,234,True,True,True,True,1.30011,-0.2653708,-3.005077,0.0003759027,-0.3676021,0.929983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.316334,0.798197,2.912761,1.304258,-0.2615337,-3.014057,0.0898831,0.002149981,0.0006750218,0.9959498,10.31357,0.2564691,0.1008119,1.313938,-1.0338,-1.008946,-6.984919e-09,-0.4008001,2.111,0.9999899,0.001731069,-0.004161199,-0.0009580818,0.9838411,0.179041,0.004403892,-0.1790352,0.9838328,static,0.02315917,-21.56781,-1.895814e-07,-10.75037,0.0854644954209762,-11.083498426740984,10.817464791231643,0.34391679384042684
23,23,05/04/2023 10:11:00.927355,235,True,True,True,True,1.300203,-0.2653739,-3.005078,8.116961e-05,-0.3677796,0.9299129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.314986,0.7987124,2.913375,1.304242,-0.2615696,-3.014203,0.08993883,0.001931247,0.0007045176,0.9959452,10.32,0.2314125,0.1019578,1.313053,-1.034061,-1.009174,-4.656613e-09,-0.4008001,2.111,0.9999916,0.00175071,-0.003720106,-0.001055934,0.983821,0.179151,0.003973559,-0.1791456,0.9838145,static,0.005001195,-21.57875,-1.263876e-07,-10.75037,0.0683820329797878,-11.093883737566433,10.828381154984138,0.35025391877408985
24,24,05/04/2023 10:11:00.947453,236,True,True,True,True,1.300293,-0.2653745,-3.005082,-0.0002150893,-0.3679732,0.9298364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31452,0.7981567,2.91378,1.304237,-0.2616248,-3.014241,0.08985101,0.001845225,0.0006575999,0.9959534,10.30991,0.2209299,0.09559267,1.312637,-1.033764,-1.009075,-6.682239e-08,-0.4008002,2.111,0.9999923,0.001641468,-0.003557344,-0.0009782871,0.9838527,0.1789772,0.003793688,-0.1789724,0.9838468,static,-0.01325363,-21.59068,-1.813662e-06,-10.75038,0.0512018821393715,-11.105220968019612,10.840308099894404,0.3585162911902539
