taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
calibration,A,7.406451449311706,14.747456853564444,7.314885230775771
calibration,A,5.569849263991378,14.685838396187199,5.434137308893916
calibration,A,8.2472066698075,16.13355588450069,8.038199229679499
calibration,A,7.766793497517323,15.387151434816557,7.5746889109866995
calibration,A,11.433634140800871,15.387824519120299,11.100621657090707
calibration,A,14.364968875986762,13.741811157899622,14.007782805434617
calibration,A,7.065571748410119,18.943726040741804,6.916286214558505
calibration,A,9.52877952075965,18.03042873986906,9.292551588277616
calibration,A,3.5218710931403967,13.814139702163747,3.4481490072282646
calibration,A,5.808082341885804,14.50594142385115,5.662060902837032
calibration,A,4.49297115985028,14.168418544277422,4.387490506508156
calibration,A,1.940441193729635,14.640565300720034,1.9079091285609537
calibration,A,10.064636704040844,13.730607140297058,9.824967282380534
calibration,A,10.390310184420946,14.29191178327557,10.12844724556036
calibration,A,7.056832422997594,17.08325803843665,6.89840206888362
calibration,A,7.297123391761288,17.21772300636686,7.167320543688449
calibration,A,8.433566309593864,15.751799489892889,8.227210270297192
calibration,A,6.153205942275525,15.149303992912959,6.012830635994966
calibration,A,2.130422665712205,15.572886925440118,2.0970416164332666
calibration,A,3.063270363453801,14.780575597266235,3.026283683430343
calibration,A,7.767722041598634,13.525737996584002,7.609479243687914
calibration,A,9.617893577985003,14.17746560700859,9.374015384943348
calibration,A,8.04688548628083,15.350029755478252,7.837273901511007
calibration,A,4.6165858597349825,13.71443939311056,4.50968818186592
calibration,A,8.914051583854205,15.410083442873534,8.69367518981501
calibration,A,6.271775751695996,16.3720977806863,6.127919657490071
calibration,A,8.091675381913774,16.87201607220504,7.982815523340529
calibration,A,9.553520623509097,16.861337013972022,9.440679289530038
calibration,A,10.08045712820468,14.26305783166534,9.852933155635242
calibration,A,9.852398054186402,15.008082356196518,9.57608749377732
calibration,A,5.933914610110139,14.694517195123664,5.809242594823234
calibration,A,3.569938659582627,15.21031685920496,3.5302555207323367
calibration,A,7.641718578575295,23.28046135856457,7.456552024852288
calibration,A,5.246895667460102,22.824097810951233,5.140751108504468
