Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
302,05/15/2023 15:22:26.311031,493,True,True,True,True,Eyes,-0.1665016,0.08492874,4.554122,0.3439742,-0.2328289,0.9096552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.572339,-1.371128,-4.474,-0.1787202,0.07835534,4.93263,0.1378485,0.1425676,-0.01700843,0.9799913,15.96382,16.60435,0.3557323,-0.03554587,0.01837553,0.9991971,-0.009083137,0.00126361,0.8843334,0.8079929,-0.5151256,7.241152,0.4527039,0.05168658,2.664286,0.9587703,0.005969218,-0.2841193,0.07264169,0.961417,0.2653309,0.2747409,-0.2750303,0.9213446,static,20.71346,-14.3568,9.643348,1.111387,2.4673608523010606,-1.016987017077521
303,05/15/2023 15:22:26.331110,494,True,True,True,True,Eyes,-0.1671521,0.08439419,4.570876,0.3480182,-0.2330479,0.9080595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.641072,-1.347932,-4.474741,-0.181128,0.07621527,4.949214,0.1357265,0.1489218,-0.01847666,0.9793158,15.7441,17.328,0.2521833,-0.03549018,0.01828431,0.9992008,-0.01026357,-0.0002270722,0.8816932,0.8079929,-0.5151256,7.241152,0.4419611,0.06292552,2.650828,0.9549618,0.004236292,-0.2966984,0.07661421,0.9624739,0.260335,0.2866673,-0.2713413,0.9188012,static,20.96957,-14.39395,9.465612,1.359835,2.4860776857682483,-1.0261326833823756
304,05/15/2023 15:22:26.351122,495,True,True,True,True,Eyes,-0.1678865,0.08385642,4.587636,0.3522331,-0.2332073,0.9063919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.698107,-1.349799,-4.470175,-0.1837576,0.07415585,4.964748,0.1360049,0.1542358,-0.01862024,0.9784515,15.77689,17.96145,0.3283971,-0.0354526,0.01817551,0.9992043,-0.01159924,-0.001817073,0.8790541,0.8079929,-0.5151256,7.241152,0.4334458,0.08528149,2.639628,0.9517292,0.005515653,-0.3068894,0.07839164,0.962312,0.2604045,0.2967597,-0.2718921,0.915428,static,21.23663,-14.42878,9.325155,1.850477,2.5056566740807016,-1.034961465637605
305,05/15/2023 15:22:26.370853,496,True,True,True,True,Eyes,-0.1686974,0.08330596,4.604417,0.3561166,-0.2329376,0.9049426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749148,-1.343379,-4.471327,-0.1865825,0.07352911,4.981639,0.1352489,0.158782,-0.01901943,0.9778213,15.6963,18.49397,0.34251,-0.03543385,0.01805165,0.9992073,-0.01310636,-0.003321375,0.8765904,0.8079929,-0.5151256,7.241152,0.4245417,0.1024691,2.625712,0.948853,0.005754973,-0.3156655,0.08014537,0.962692,0.2584586,0.3053761,-0.2705384,0.912992,static,21.48082,-14.43491,9.184461,2.234849,2.5239664012220615,-1.0383760902231791
306,05/15/2023 15:22:26.381421,497,True,True,True,True,Eyes,-0.1696096,0.0827135,4.621177,0.3600807,-0.2324731,0.9034922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797626,-1.298035,-4.484964,-0.1896216,0.07255886,4.999003,0.1305654,0.1628668,-0.0201548,0.9777634,15.18218,18.93861,0.185006,-0.03543411,0.01791451,0.9992098,-0.01475292,-0.004773462,0.8743376,0.8079929,-0.5151256,7.241152,0.4114152,0.1107948,2.613526,0.9461364,0.003116267,-0.3237533,0.08194277,0.9650929,0.2487589,0.3132273,-0.2618891,0.9128542,static,21.72942,-14.42949,8.945956,2.427477,2.542791523497186,-1.039740313892783
307,05/15/2023 15:22:26.401368,498,True,True,True,True,Eyes,-0.1705949,0.08207628,4.637947,0.3635743,-0.2319601,0.9022241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.840399,-1.263591,-4.495817,-0.1929682,0.0714235,5.015353,0.1273064,0.1661948,-0.02232106,0.9775859,14.85213,19.28643,359.9214,-0.0354546,0.01776454,0.9992118,-0.01660427,-0.006264442,0.8721569,0.8079929,-0.5151256,7.241152,0.3943865,0.1187392,2.60126,0.9437622,-0.001326183,-0.3306225,0.08595683,0.9665897,0.2414867,0.319256,-0.2563252,0.9123448,static,21.94823,-14.41837,8.621163,2.613555,2.559461398923057,-1.0397909985163922
308,05/15/2023 15:22:26.410972,499,True,True,True,True,Eyes,-0.171672,0.0814566,4.654716,0.3671584,-0.2314581,0.9009005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.880689,-1.240134,-4.505004,-0.1963746,0.06961724,5.032552,0.1252792,0.1692173,-0.02452457,0.9772764,14.66488,19.60476,359.6721,-0.03549509,0.01760201,0.9992132,-0.01856386,-0.007800231,0.8701372,0.8079929,-0.5151256,7.241152,0.3705776,0.1180415,2.591797,0.9415281,-0.005535749,-0.336889,0.0903334,0.9674073,0.2365649,0.3245992,-0.2531649,0.9113412,static,22.17315,-14.40872,8.137054,2.607693,2.5765685535504903,-1.0401655971994228
309,05/15/2023 15:22:26.431664,500,True,True,True,True,Eyes,-0.1728502,0.0809157,4.671505,0.3703277,-0.23125,0.899656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922912,-1.230346,-4.508651,-0.1997559,0.06889383,5.049221,0.124508,0.1725358,-0.02618442,0.9767516,14.61142,19.97291,359.5152,-0.03555609,0.01742969,0.9992141,-0.02068137,-0.009191256,0.8682371,0.8079929,-0.5151256,7.241152,0.3427911,0.1190788,2.581803,0.9390916,-0.008187169,-0.3435696,0.0941155,0.9676243,0.2341912,0.3305289,-0.2522622,0.9094583,static,22.37366,-14.41539,7.563041,2.640745,2.591577164324207,-1.0432658408863866
310,05/15/2023 15:22:26.450984,501,True,True,True,True,Eyes,-0.1741069,0.08049744,4.688289,0.3736704,-0.2311454,0.8982997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.964966,-1.250106,-4.504619,-0.2033305,0.07028033,5.066475,0.1265914,0.1757801,-0.02779722,0.9758603,14.88284,20.3467,359.4221,-0.03563831,0.01725238,0.9992142,-0.02297515,-0.01026249,0.8665098,0.8079929,-0.5151256,7.241152,0.3120189,0.1170819,2.57112,0.9366574,-0.009747932,-0.3501114,0.09875689,0.9664039,0.2372986,0.3360358,-0.2568434,0.9061521,static,22.5861,-14.42999,6.919309,2.607296,2.6073594228582264,-1.0479149995342123
311,05/15/2023 15:22:26.461244,502,True,True,True,True,Eyes,-0.175459,0.0801716,4.705054,0.3766858,-0.231471,0.8969554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013926,-1.2637,-4.498181,-0.2065433,0.07282664,5.083159,0.1277189,0.1799695,-0.02823362,0.9749368,15.02248,20.84665,359.4613,-0.03574146,0.01707598,0.9992135,-0.0253668,-0.01090153,0.8648718,0.8079929,-0.5151256,7.241152,0.2865929,0.1136161,2.56126,0.9336276,-0.009080993,-0.3581297,0.101023,0.9657815,0.2388733,0.3437059,-0.259198,0.9025977,static,22.78048,-14.47021,6.384569,2.539945,2.6213744662818446,-1.0570342059897513
312,05/15/2023 15:22:26.481273,503,True,True,True,True,Eyes,-0.1768921,0.07998114,4.721832,0.3797342,-0.2318499,0.8955711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.055474,-1.303518,-4.48662,-0.210068,0.07477227,5.099428,0.1311945,0.1835984,-0.02694397,0.9738345,15.39175,21.3189,359.7442,-0.03586591,0.0169044,0.9992119,-0.02790091,-0.01122494,0.8632749,0.8079929,-0.5151256,7.241152,0.2620536,0.1033019,2.549838,0.9311312,-0.004303722,-0.3646587,0.1006522,0.9641241,0.2456298,0.3505191,-0.2654173,0.8981592,static,22.9776,-14.51436,5.867837,2.319962,2.6355337902527607,-1.066891097539247
313,05/15/2023 15:22:26.501134,504,True,True,True,True,Eyes,-0.1784115,0.0798136,4.738607,0.3824237,-0.2319434,0.8944017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088858,-1.309967,-4.489015,-0.2134844,0.07784174,5.116538,0.1316542,0.1859199,-0.02840407,0.9732904,15.47615,21.57775,359.6233,-0.03601132,0.01674256,0.9992093,-0.03052635,-0.01112282,0.8618109,0.8079929,-0.5151256,7.241152,0.2420235,0.1034581,2.538416,0.929254,-0.006336576,-0.3693871,0.1042451,0.9637208,0.2457137,0.354429,-0.2668373,0.896202,static,23.15034,-14.53814,5.446362,2.33391,2.6481780681508953,-1.0728283696348448
