,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
10,05/16/2023 16:03:51.986478,237,True,True,True,True,Eyes,1.440669,0.06369095,-1.766844,0.9611843,-0.004635223,0.2758681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.806452,-0.1432481,-1.466706,1.505005,0.05878591,-1.779472,0.06579896,0.7003525,-0.02433269,0.7103412,7.328754,89.4019,3.329058,0.6058873,0.0314136,-0.7949296,0.4066486,-0.01984954,0.03108566,2.721793,0.232502,-0.8785778,-0.5410413,0.3741361,1.915,0.01782833,0.05759593,-0.9981807,0.126734,0.9901568,0.05939651,0.9917765,-0.1275624,0.01035346,moving,73.98607,-0.9626112,-15.77647,11.0547,71.24576256759458,4.106527152874353,90.56339964759077,87.2991756373567,89.81570936765038
11,05/16/2023 16:03:52.006208,238,True,True,True,True,Eyes,1.444574,0.06356586,-1.767765,0.9618753,-0.003619368,0.2734641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.80915,-0.1415686,-1.480249,1.51717,0.06020222,-1.782912,0.06344346,0.7006567,-0.02314754,0.7102954,7.04011,89.41631,3.235869,0.6084979,0.03106642,-0.7929466,0.3822497,-0.01865857,0.02922052,2.738644,0.2450234,-0.8883299,-0.5371467,0.3714432,1.915,0.01708876,0.05602098,-0.9982835,0.1217873,0.9908782,0.05769022,0.9924093,-0.1225642,0.01011022,moving,74.12938,-0.7582802,-15.66851,10.97707,71.39976904642972,4.301060727847911,90.56146803563169,87.32384734944294,89.83940187083425
12,05/16/2023 16:03:52.026152,239,True,True,True,True,Eyes,1.448799,0.06344451,-1.768792,0.9625508,-0.002478092,0.27109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.811143,-0.1336432,-1.495731,1.52992,0.06092283,-1.786322,0.05850559,0.701162,-0.02054868,0.7103004,6.426527,89.42929,3.048802,0.6109269,0.03074438,-0.7910895,0.3593147,-0.01753906,0.02746729,2.755599,0.2612059,-0.898173,-0.5332938,0.3687786,1.915,0.01589917,0.05285233,-0.9984757,0.1112353,0.9923097,0.05429719,0.9936669,-0.111929,0.009897883,moving,74.27081,-0.5237384,-15.56158,10.90022,71.55405283020178,4.524519796586766,90.55586738934717,87.3486292765395,89.86110650876556
13,05/16/2023 16:03:52.036573,240,True,True,True,True,Eyes,1.453342,0.06339554,-1.769799,0.9633051,-0.001897743,0.2684021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.812288,-0.1364121,-1.510496,1.541817,0.0608753,-1.789885,0.05598429,0.7017966,-0.02065021,0.7098739,6.227014,89.49887,2.840367,0.6131986,0.03044487,-0.7893416,0.3377558,-0.01648671,0.02581925,2.772764,0.2762212,-0.9083833,-0.5293903,0.3660795,1.914999,0.01411029,0.04926107,-0.9986863,0.1078973,0.9928786,0.05049907,0.9940619,-0.1084681,0.008694641,moving,74.43076,-0.4051042,-15.45315,10.82234,71.71829760572497,4.636922482641694,90.58240877870391,87.39062116464042,89.90554111821484
14,05/16/2023 16:03:52.056683,241,True,True,True,True,Eyes,1.458205,0.06345624,-1.770898,0.9640558,-0.001257743,0.265697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.813168,-0.1520612,-1.524601,1.554127,0.06268465,-1.793284,0.05690768,0.7023712,-0.02336335,0.7091477,6.518925,89.60367,2.700151,0.6153377,0.03016863,-0.7876858,0.3174905,-0.01549751,0.0242701,2.790041,0.2946024,-0.9190409,-0.5254378,0.3633461,1.914999,0.01225777,0.0468045,-0.9988288,0.1130767,0.9924313,0.04789241,0.9935107,-0.1135314,0.006872496,moving,74.59161,-0.2712218,-15.34323,10.74342,71.88448508171591,4.763911555005287,90.60683075689111,87.43242418931762,89.9488803750555
15,05/16/2023 16:03:52.066253,242,True,True,True,True,Eyes,1.463359,0.06357004,-1.772115,0.9648678,-0.0009331394,0.2627343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.811719,-0.156899,-1.542506,1.566642,0.06536357,-1.796561,0.05568303,0.7035262,-0.02337308,0.708099,6.415936,89.77509,2.609762,0.6173643,0.02991776,-0.786108,0.298441,-0.01456766,0.02281389,2.808524,0.3036834,-0.9296539,-0.5217134,0.3607705,1.915,0.009009303,0.04524803,-0.9989352,0.1114498,0.9927062,0.04597104,0.9937292,-0.1117453,0.003900732,moving,74.76763,-0.2034935,-15.23954,10.66901,72.0608427040715,4.827482798925619,90.66146912424492,87.49560137697345,90.01661303269292
16,05/16/2023 16:03:52.086406,243,True,True,True,True,Eyes,1.46879,0.06372255,-1.773427,0.9656599,-0.0006779887,0.2598085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.811238,-0.1558624,-1.55958,1.578788,0.06680214,-1.800037,0.05567832,0.7044858,-0.02252759,0.707172,6.343508,89.93085,2.686689,0.6192942,0.02969176,-0.784597,0.2805346,-0.0136936,0.02144506,2.825027,0.3316854,-0.9402714,-0.5177339,0.3580189,1.915,0.006384654,0.04658739,-0.9988938,0.1103109,0.9927849,0.04700755,0.9938767,-0.110489,0.001199452,moving,74.9413,-0.1495171,-15.12864,10.58949,72.23394834290168,4.877909900211424,90.70788480114312,87.54909473665391,90.07572893798692
17,05/16/2023 16:03:52.109034,244,True,True,True,True,Eyes,1.474481,0.06391481,-1.774792,0.9664048,-0.0009298593,0.257023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.811736,-0.1560646,-1.575374,1.59086,0.06788871,-1.803635,0.05682448,0.7052125,-0.0221171,0.706369,6.400213,90.06385,2.820532,0.6211419,0.02948955,-0.7831427,0.2637025,-0.01287198,0.02015835,2.840349,0.3531272,-0.949405,-0.5138975,0.3553659,1.915001,0.004372225,0.04890101,-0.9987941,0.1113923,0.9925636,0.04908359,0.9937669,-0.1114726,-0.001107547,moving,75.10651,-0.2072841,-15.02162,10.51277,72.39099929837396,4.821456767377957,90.76342532762757,87.59770007776618,90.1355106834818
18,05/16/2023 16:03:52.126534,245,True,True,True,True,Eyes,1.480415,0.0641191,-1.776239,0.9671351,-0.001096322,0.2542607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.812324,-0.1585447,-1.590432,1.60286,0.06909642,-1.806985,0.05666416,0.7058507,-0.02207742,0.7057455,6.381478,90.16557,2.816376,0.6229206,0.02931025,-0.7817354,0.2478803,-0.01209967,0.01894885,2.85929,0.348739,-0.957168,-0.5100082,0.3526761,1.915,0.002574816,0.04883079,-0.9988039,0.1111549,0.9926035,0.04881423,0.9937999,-0.1111477,-0.002872071,moving,75.27021,-0.2470465,-14.91302,10.43496,72.54783565777521,4.782244993362739,90.813656660763,87.64333665109089,90.19140228039402
19,05/16/2023 16:03:52.136318,246,True,True,True,True,Eyes,1.486568,0.0643356,-1.77773,0.9678499,-0.001737178,0.2515221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.812087,-0.1626133,-1.60598,1.614609,0.06957848,-1.810378,0.05530044,0.706656,-0.02244035,0.7050359,6.297607,90.27909,2.68223,0.6246415,0.02915178,-0.780367,0.2330075,-0.01137369,0.01781192,2.876383,0.3748264,-0.9696333,-0.5061954,0.35004,1.915,0.0002674127,0.04651426,-0.9989176,0.1097993,0.9928765,0.04626237,0.9939538,-0.1096928,-0.004841732,moving,75.43238,-0.3957162,-14.80645,10.35865,72.69557247370123,4.638818129433664,90.87740550946974,87.6887701682243,90.25250067528023
