Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/03/2023 13:39:27.5171,192,True,True,True,True,0.1656811,0.2889202,0.1413002,-0.486628,-0.2293059,0.842978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2138809,-0.2860658,0.02934872,0.1615559,0.2904101,0.1341706,0.1063483,-0.2549258,0.04080347,0.9602281,13.00529,330.4255,1.419642,-0.9971983,-0.3171208,2.518012,0.1688027,-0.0008577704,2.714039,0.8666958,0.02413939,0.4982526,-0.1325831,0.9740502,0.1834336,-0.4808952,-0.225041,0.8474057,moving,-29.99666,-15.21733,3.558991,-0.0181083
05/03/2023 13:39:27.5372,193,True,True,True,True,0.1651653,0.2888628,0.1413252,-0.486257,-0.2291543,0.8432333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2131398,-0.2861039,0.02846127,0.1605999,0.2902055,0.1344713,0.1063701,-0.2546253,0.04071036,0.9603094,13.00454,330.4606,1.412616,-0.989711,-0.3179164,2.535184,0.1828855,0.0005942881,2.724518,0.8670172,0.02402001,0.4976989,-0.1323581,0.9740561,0.1835647,-0.4803774,-0.2250283,0.8477027,moving,-29.97024,-15.20334,3.840265,0.0124977
05/03/2023 13:39:27.5469,194,True,True,True,True,0.1646228,0.2888021,0.1413645,-0.4858581,-0.2290285,0.8434974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2124325,-0.286069,0.02772948,0.1596062,0.2899611,0.1348348,0.106782,-0.2542973,0.04078792,0.9603472,13.05229,330.499,1.413613,-0.982255,-0.3187086,2.552283,0.1967987,0.004363358,2.734892,0.8673384,0.02403234,0.4971384,-0.1326499,0.9738678,0.1843512,-0.4797167,-0.2258402,0.8478609,moving,-29.94213,-15.19085,4.115823,0.09141194
05/03/2023 13:39:27.5668,195,True,True,True,True,0.1640605,0.2887404,0.1414306,-0.4854526,-0.2288944,0.8437673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2118818,-0.2860761,0.02678103,0.1585704,0.2898293,0.1352962,0.1069697,-0.2538998,0.04106467,0.9604198,13.08076,330.5494,1.444794,-0.9744058,-0.3195427,2.570285,0.2108918,0.007083833,2.745836,0.8676972,0.02455949,0.496486,-0.1331978,0.9737424,0.184619,-0.4789153,-0.2263242,0.8481848,moving,-29.91352,-15.17773,4.391935,0.1478139
05/03/2023 13:39:27.5869,196,True,True,True,True,0.1634563,0.2886804,0.1415134,-0.4849784,-0.2287626,0.8440756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2116677,-0.2860312,0.02542405,0.1575282,0.2897445,0.1360015,0.1066561,-0.2536313,0.04160508,0.9605023,13.06119,330.59,1.518897,-0.9673705,-0.3202902,2.58642,0.223628,0.007065088,2.755364,0.8678803,0.0258209,0.4961018,-0.1340262,0.973787,0.1837821,-0.4783521,-0.2259915,0.8485913,moving,-29.88028,-15.16411,4.64001,0.146913
05/03/2023 13:39:27.5969,197,True,True,True,True,0.1628344,0.2886126,0.1416293,-0.4844837,-0.2286244,0.8443971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.211127,-0.2862814,0.0240486,0.156415,0.289731,0.1367488,0.1066129,-0.253182,0.04170696,0.9606212,13.05864,330.6458,1.537905,-0.9594777,-0.3211289,2.604522,0.2374092,0.008164316,2.766196,0.8683188,0.02614422,0.4953171,-0.1341141,0.9737884,0.1837104,-0.4775311,-0.2259482,0.8490651,moving,-29.8456,-15.14987,4.905399,0.1691057
05/03/2023 13:39:27.6172,198,True,True,True,True,0.1622163,0.2885465,0.1417979,-0.4836971,-0.2285356,0.8448719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2104959,-0.2864761,0.02239603,0.1553597,0.2894732,0.1376493,0.1065391,-0.2525862,0.04143313,0.9607982,13.04146,330.7148,1.517377,-0.9522964,-0.321892,2.620992,0.2489724,0.00884071,2.775895,0.868967,0.02579712,0.4941972,-0.1334384,0.9738653,0.1837943,-0.4765402,-0.2256561,0.8496993,moving,-29.79154,-15.13613,5.125194,0.1824758
05/03/2023 13:39:27.6370,199,True,True,True,True,0.1615791,0.2884682,0.1420067,-0.482849,-0.2284477,0.8453807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20991,-0.2869422,0.02052425,0.1542375,0.2894423,0.1387561,0.1068079,-0.2513334,0.04127706,0.9611035,13.06495,330.8629,1.509116,-0.9445825,-0.3227116,2.638683,0.2578366,0.01145896,2.786604,0.8702554,0.02565427,0.4919323,-0.1330318,0.9737766,0.1845582,-0.4742975,-0.2260555,0.8508472,moving,-29.73335,-15.12189,5.286365,0.2356081
05/03/2023 13:39:27.6476,200,True,True,True,True,0.1609432,0.2883827,0.1422684,-0.4813281,-0.2283982,0.8462609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2093458,-0.2870878,0.01837,0.1531236,0.2890706,0.1399066,0.1068372,-0.2500088,0.04108214,0.961454,13.0605,331.0204,1.504524,-0.9367304,-0.323546,2.656692,0.2664196,0.01309642,2.797523,0.8716157,0.02557668,0.4895222,-0.1324176,0.9737962,0.1848963,-0.4719658,-0.2259799,0.8521628,moving,-29.62993,-15.10376,5.440106,0.2682245
05/03/2023 13:39:27.6669,201,True,True,True,True,0.1602754,0.2882984,0.1425802,-0.4797297,-0.2283497,0.8471811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.208289,-0.287564,0.0164455,0.1518463,0.2887791,0.1410572,0.10787,-0.2480378,0.04056988,0.9618708,13.15815,331.2468,1.443767,-0.9295384,-0.3243102,2.673186,0.2705874,0.01995203,2.807727,0.8736627,0.02453431,0.4859132,-0.1315576,0.9734363,0.1873882,-0.468408,-0.2276396,0.8536826,moving,-29.5214,-15.08504,5.504734,0.4071435
