,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
0,05/04/2023 10:20:29.366364,180,True,True,True,True,-0.1366253,0.05183376,0.4101458,-0.5144356,-0.1735162,0.8397905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04206365,-0.1604148,-0.4193279,-0.1623686,0.05308722,0.4173204,0.1221372,-0.232852,0.01128804,0.9647461,13.94083,332.6077,357.9275,-1.102036,-0.3118023,2.09692,-0.06547058,0.1069938,1.95485,0.891305,-0.03509962,0.4520435,-0.07865998,0.9699101,0.2304059,-0.4465287,-0.2409197,0.8617249,moving,-31.49065,-11.67409,-1.918196,3.132815,-29.357936837288676,-1.3158475827496368
1,05/04/2023 10:20:29.376275,181,True,True,True,True,-0.1380481,0.05173349,0.4108962,-0.5147021,-0.1731259,0.8397077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04242605,-0.1601225,-0.4218714,-0.1647989,0.05244546,0.4189337,0.1220103,-0.2350856,0.01012395,0.9642333,13.88966,332.3244,357.7659,-1.095297,-0.3125653,2.113919,-0.04102981,0.1082266,1.964342,0.8892646,-0.03784203,0.4558251,-0.07688942,0.970022,0.2305328,-0.4508842,-0.2400528,0.8596965,moving,-31.50638,-11.64966,-1.196581,3.153558,-29.37249584333719,-1.2922153140788009
2,05/04/2023 10:20:29.396589,182,True,True,True,True,-0.1395062,0.05158443,0.4116884,-0.5148808,-0.1728564,0.8396538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04256245,-0.1596363,-0.4247011,-0.1673138,0.05160275,0.420725,0.1217814,-0.2369287,0.009358651,0.9638187,13.83845,332.0943,357.6587,-1.088285,-0.3133593,2.131608,-0.017654,0.1097313,1.973867,0.8875544,-0.03966695,0.4589921,-0.07574712,0.9701634,0.2303158,-0.4544332,-0.2391851,0.8580682,moving,-31.51688,-11.63275,-0.512432,3.181913,-29.382209935226385,-1.2758605292559881
3,05/04/2023 10:20:29.406073,183,True,True,True,True,-0.1410044,0.05139238,0.4125109,-0.5151,-0.1727118,0.8395491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04231799,-0.1590624,-0.4274537,-0.1697628,0.05041034,0.4224307,0.1218537,-0.238257,0.008814123,0.9634873,13.82807,331.9263,357.5753,-1.081389,-0.3141403,2.149005,0.003395617,0.1129126,1.982992,0.8863119,-0.04108041,0.4612631,-0.07504959,0.970148,0.230609,-0.4569669,-0.2390091,0.8567706,moving,-31.53093,-11.62469,0.09811153,3.258933,-29.395311120095528,-1.2679942982113914
4,05/04/2023 10:20:29.426089,184,True,True,True,True,-0.142543,0.05117355,0.4133618,-0.5150728,-0.1728415,0.8395391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04143989,-0.1598922,-0.4296172,-0.1721815,0.04910564,0.4240235,0.1235776,-0.2387536,0.009270799,0.9631405,14.03249,331.8559,357.569,-1.07494,-0.3148705,2.165273,0.02009702,0.1233839,1.990923,0.8858215,-0.04115105,0.4621978,-0.07686738,0.9692852,0.2336184,-0.4576151,-0.2424721,0.8554506,moving,-31.52989,-11.63332,0.5783423,3.546269,-29.39439804655769,-1.276307108167103
5,05/04/2023 10:20:29.446056,185,True,True,True,True,-0.1441146,0.0509503,0.4142548,-0.5150954,-0.1730589,0.8394804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04068156,-0.1619443,-0.4313843,-0.1746316,0.04830382,0.4256101,0.1259948,-0.2392606,0.01062637,0.9626873,14.3398,331.7892,357.6438,-1.068208,-0.3156329,2.182257,0.03736079,0.137065,1.999138,0.8852829,-0.03983146,0.4633441,-0.08075095,0.9680248,0.2375023,-0.4579886,-0.2476722,0.8537593,moving,-31.53279,-11.64835,1.070644,3.922177,-29.397220017364383,-1.2907477776896776
6,05/04/2023 10:20:29.456330,186,True,True,True,True,-0.1457227,0.05072326,0.4152008,-0.5148728,-0.1732792,0.8395715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0403937,-0.1632489,-0.4337321,-0.1769823,0.0479973,0.4275265,0.1269402,-0.2400465,0.01160229,0.9623562,14.47121,331.6981,357.7146,-1.061145,-0.3164327,2.200074,0.05621636,0.1442419,2.008111,0.8844861,-0.03861202,0.4649661,-0.08327416,0.9675032,0.2387531,-0.4590749,-0.2498935,0.8525277,moving,-31.51899,-11.66153,1.603556,4.108479,-29.384389095076855,-1.303539033461945
7,05/04/2023 10:20:29.476232,187,True,True,True,True,-0.1473556,0.05048742,0.4161991,-0.5146694,-0.1734583,0.8396592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0401191,-0.1635365,-0.4367623,-0.1793346,0.04758448,0.4297556,0.126843,-0.2407845,0.01188913,0.9621811,14.4667,331.6137,357.7388,-1.054101,-0.3172303,2.217844,0.07476747,0.1466953,2.017041,0.883763,-0.03820466,0.4663727,-0.08396264,0.967539,0.2383664,-0.4603405,-0.2498173,0.8518673,moving,-31.50623,-11.67208,2.122862,4.159682,-29.372513590018606,-1.3137912880317213
8,05/04/2023 10:20:29.496577,188,True,True,True,True,-0.1490395,0.05024176,0.4172389,-0.5141199,-0.1735939,0.8399678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03936145,-0.1633329,-0.4400699,-0.1815046,0.04721665,0.4321055,0.1261511,-0.2407784,0.01202648,0.9622719,14.39319,331.623,357.7751,-1.047475,-0.3179805,2.234557,0.08912474,0.1463485,2.025523,0.8837622,-0.03760345,0.4664229,-0.08389442,0.9678825,0.2369919,-0.4603543,-0.2485748,0.8522233,moving,-31.46959,-11.67677,2.519439,4.132565,-29.33823269872012,-1.3185915550640583
9,05/04/2023 10:20:29.506156,189,True,True,True,True,-0.1507351,0.0499543,0.4183309,-0.5135638,-0.1736888,0.8402883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03858714,-0.1634482,-0.4433661,-0.1837115,0.04671428,0.4345638,0.1259746,-0.2407972,0.01195679,0.9622912,14.37142,331.6215,357.7722,-1.040286,-0.3187946,2.252693,0.1048279,0.1482082,2.034688,0.8837475,-0.03765681,0.4664465,-0.08368046,0.967975,0.2366901,-0.4604215,-0.2482067,0.8522943,moving,-31.43226,-11.67865,2.949294,4.166111,-29.303285779596322,-1.320693161124188
