,Unnamed: 0,Unnamed: 0.1,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
10,10,10,05/07/2023 20:08:08.550881,238,True,True,True,True,Eyes,1.338674,-0.2227918,-3.656223,-0.5081478,0.3377143,0.7922972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1838435,-0.7327707,3.82934,1.348464,-0.2281645,-3.655706,-0.1290622,-0.2006436,0.02855066,0.970706,346.1662,335.8732,6.339674,0.3427588,-0.05682731,-0.9377026,0,0,0,0.6555663,0.2476964,-2.736992,-0.03702796,0.07478994,1.25105,0.9178541,0.1072196,0.3821622,-0.003637606,0.9650556,-0.2620198,-0.3969014,0.2391058,0.8861702,moving,-32.67449,23.08598,-1.695317,3.42117,-31.975425292601745,26.199767893375878,36.69351321555391,37.89128501647571,34.34136992226166
11,11,11,05/07/2023 20:08:08.570669,239,True,True,True,True,Eyes,1.338674,-0.2227918,-3.656223,-0.5081478,0.3377143,0.7922972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1680129,-0.7150592,3.833035,1.348547,-0.228422,-3.655262,-0.1271311,-0.1986735,0.03013505,0.971318,346.4087,336.1118,6.442067,0.3428083,-0.05685725,-0.9376827,0,0,0,0.659986,0.2445298,-2.737039,-0.03479731,0.07230014,1.247577,0.9192414,0.1090566,0.378288,-0.008026275,0.9658591,-0.2589436,-0.3936124,0.2349954,0.888733,moving,-32.67449,23.08598,-1.597674,3.31672,-31.975425292601745,26.199767893375878,36.8319444727733,38.032113463304945,34.47850393486472
12,12,12,05/07/2023 20:08:08.581324,240,True,True,True,True,Eyes,1.338674,-0.2227918,-3.656223,-0.5081478,0.3377143,0.7922972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527712,-0.699992,3.836165,1.348728,-0.2282981,-3.654902,-0.1254426,-0.1967779,0.03136249,0.9718843,346.6153,336.3431,6.511958,0.3428528,-0.0568842,-0.9376647,0,0,0,0.6636854,0.2418793,-2.737079,-0.03304398,0.07005557,1.244667,0.9205897,0.1103301,0.3746223,-0.01159276,0.9665611,-0.2561742,-0.3903591,0.2314884,0.8910852,moving,-32.67449,23.08598,-1.520757,3.22147,-31.975425292601745,26.199767893375878,36.947988272372676,38.15087148269518,34.59324079577187
13,13,13,05/07/2023 20:08:08.600977,241,True,True,True,True,Eyes,1.338674,-0.2227918,-3.656223,-0.5081478,0.3377143,0.7922972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370294,-0.6906999,3.838069,1.348904,-0.2283604,-3.654439,-0.1244173,-0.1948093,0.03177223,0.9723992,346.7272,336.5851,6.505126,0.3428929,-0.05690845,-0.9376486,0,0,0,0.6678619,0.2388869,-2.737124,-0.03126472,0.06885463,1.241291,0.9220798,0.1102659,0.3709587,-0.01331531,0.9670217,-0.2543455,-0.3867708,0.2295875,0.8931394,moving,-32.67449,23.08598,-1.442819,3.174953,-31.975425292601745,26.199767893375878,37.038713120827644,38.24110547425698,34.683835522941344
14,14,14,05/07/2023 20:08:08.620954,242,True,True,True,True,Eyes,1.338845,-0.2229519,-3.655721,-0.5058919,0.335306,0.7947599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199862,-0.6818742,3.839901,1.348998,-0.2283157,-3.654076,-0.1233786,-0.1926435,0.03174463,0.9729639,346.8292,336.856,6.445724,0.3429289,-0.05693028,-0.9376341,0,0,0,0.6723601,0.2356641,-2.737172,-0.02924436,0.06681722,1.237629,0.9237615,0.1093089,0.3670371,-0.01423659,0.96754,-0.2523166,-0.3827036,0.227855,0.8953324,moving,-32.47815,22.87469,-1.35361,3.090289,-31.784829112366,25.983324657308177,36.880340469420844,38.08083741557706,34.574631024032634
15,15,15,05/07/2023 20:08:08.631720,243,True,True,True,True,Eyes,1.339015,-0.2231111,-3.65522,-0.5036055,0.3329432,0.7972016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1035032,-0.677054,3.840841,1.348894,-0.2285893,-3.653684,-0.1229672,-0.1905646,0.03213144,0.9734126,346.8707,337.1035,6.451244,0.3429693,-0.05695463,-0.9376178,0,0,0,0.6759458,0.2330951,-2.737211,-0.02819455,0.06589085,1.234707,0.9253054,0.1094207,0.3630938,-0.01568789,0.9676933,-0.2516418,-0.3788982,0.2271494,0.8971284,moving,-32.28128,22.66736,-1.308123,3.054726,-31.593746037007072,25.770746878936507,36.66049463611485,37.85811098446373,34.40336616207312
16,16,16,05/07/2023 20:08:08.650771,244,True,True,True,True,Eyes,1.339223,-0.223265,-3.654709,-0.5014957,0.3306856,0.799468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08976126,-0.6703466,3.84196,1.348996,-0.2287117,-3.653215,-0.1222577,-0.1888437,0.03241261,0.9738278,346.9457,337.3131,6.442355,0.3430136,-0.05698121,-0.9376,0,0,0,0.6801836,0.2300588,-2.737257,-0.02690959,0.0654248,1.231205,0.9265749,0.1093038,0.359877,-0.01695342,0.9680049,-0.2503577,-0.3757278,0.2258741,0.8987823,moving,-32.09951,22.47156,-1.252075,3.04177,-31.417292465427508,25.570179425374505,36.456562996576146,37.64929715112668,34.24512063244234
17,17,17,05/07/2023 20:08:08.670682,245,True,True,True,True,Eyes,1.339432,-0.223419,-3.654205,-0.4995082,0.3285784,0.8015783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07693529,-0.6610746,3.843514,1.349134,-0.2288561,-3.652807,-0.1211721,-0.1872143,0.03246894,0.9742762,347.0587,337.519,6.400006,0.3430623,-0.05700966,-0.9375805,0,0,0,0.6842154,0.2271702,-2.7373,-0.02599275,0.06506231,1.22797,0.9277931,0.1086377,0.3569283,-0.0178971,0.9685262,-0.2482675,-0.3726656,0.2239529,0.9005362,moving,-31.92934,22.28942,-1.212613,3.032903,-31.25210671112546,25.38355548745676,36.25370001205143,37.44226020202043,34.084308226851746
18,18,18,05/07/2023 20:08:08.691334,246,True,True,True,True,Eyes,1.33964,-0.2235686,-3.653705,-0.4975038,0.3264955,0.8036733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06575894,-0.6516093,3.845077,1.34922,-0.2290343,-3.65249,-0.1200459,-0.1857795,0.03248917,0.9746894,347.1768,337.7024,6.355595,0.3431149,-0.05703979,-0.9375595,0,0,0,0.6885791,0.2240437,-2.737347,-0.02508557,0.06512454,1.224353,0.9288608,0.1079378,0.3543542,-0.01872955,0.9690669,-0.2460867,-0.369955,0.2219434,0.9021499,moving,-31.75906,22.10965,-1.173759,3.044749,-31.08682933459559,25.199254374100175,36.04068655561936,37.22383490740168,33.91296498818762
19,19,19,05/07/2023 20:08:08.701107,247,True,True,True,True,Eyes,1.339829,-0.2237201,-3.653217,-0.4956111,0.324539,0.8056327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556426,-0.6438907,3.846209,1.349352,-0.2290581,-3.652095,-0.1190812,-0.1844866,0.03225526,0.9750611,347.2721,337.87,6.288277,0.343171,-0.05707132,-0.937537,0,0,0,0.6925242,0.2212171,-2.737389,-0.0249024,0.06411737,1.221062,0.9298486,0.1068394,0.3520893,-0.01896391,0.9695585,-0.2441242,-0.3674533,0.2203216,0.9035687,moving,-31.5991,21.94142,-1.168331,3.005812,-30.931572697336136,25.02675639660584,35.84116281959927,37.02394560892254,33.75063315399115
