Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
05/17/2023 14:28:29.365707,217,True,True,True,True,Eyes,1.350641,-0.2869875,-3.058643,-0.2911235,0.05073072,0.9553394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.252722,0.697629,3.045153,1.355352,-0.2871344,-3.067496,0.07168126,-0.01852289,-0.01105012,0.9971944,8.195485,357.7693,358.5704,0.4025994,-0.08548634,-0.9113755,0,0,0,0.7483569,-0.1765738,-1.138818,-0.5408378,0.3739956,1.915,0.9990696,-0.02469373,0.03535767,0.01938275,0.9894794,0.1433697,-0.03852602,-0.1425509,0.9890374,moving,-16.94771,3.039683,-15.77084,11.05066,-13.30892788030098,9.166385392189138,8.096960879949279,3.1002422619469114,7.824080004577192
05/17/2023 14:28:29.385961,218,True,True,True,True,Eyes,1.350568,-0.2870013,-3.05864,-0.289812,0.04971882,0.9557914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.253304,0.6966121,3.045291,1.355363,-0.2871633,-3.067632,0.07150016,-0.01842369,-0.01102812,0.9972095,8.174877,357.7813,358.5742,0.4025865,-0.0854895,-0.9113808,0,0,0,0.7523687,-0.1790282,-1.138882,-0.5370263,0.3713599,1.915,0.9990779,-0.02462929,0.03516753,0.01936011,0.9895322,0.1430076,-0.03832158,-0.1421949,0.9890966,moving,-16.86818,2.977756,-15.66517,10.97467,-13.229039785152422,9.105032044640076,8.086894742946518,3.0708755278935915,7.8182304060050765
05/17/2023 14:28:29.405781,219,True,True,True,True,Eyes,1.350501,-0.2870176,-3.058631,-0.2883644,0.04863191,0.956285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.254548,0.6965121,3.044658,1.355372,-0.2872489,-3.067478,0.07145607,-0.01821506,-0.01096778,0.9972171,8.170243,357.8059,358.583,0.4025731,-0.08549284,-0.9113864,0,0,0,0.7552009,-0.1828172,-1.139574,-0.53305,0.3686102,1.915,0.9990959,-0.02447766,0.03476131,0.01927136,0.9895475,0.142914,-0.03789617,-0.1421149,0.9891245,moving,-16.7805,2.911271,-15.55482,10.89536,-13.14098433654751,9.039194141685815,8.077621470601416,3.0449883913943507,7.813142009647673
05/17/2023 14:28:29.425561,220,True,True,True,True,Eyes,1.350435,-0.2870316,-3.058628,-0.2869723,0.04757113,0.9567569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.256332,0.6967973,3.04373,1.355342,-0.2872931,-3.067361,0.07148223,-0.01791196,-0.0109003,0.9972215,8.173826,357.8414,358.5932,0.4025595,-0.08549641,-0.9113922,0,0,0,0.7587805,-0.182413,-1.139924,-0.5292919,0.3660113,1.915,0.9991207,-0.0243008,0.03416603,0.01917925,0.989543,0.1429577,-0.03728274,-0.1421767,0.9891388,moving,-16.69624,2.846473,-15.45041,10.82037,-13.056353728645556,8.97501056894837,8.070633541148366,3.022723417744789,7.809956741229337
05/17/2023 14:28:29.444338,221,True,True,True,True,Eyes,1.350332,-0.2870446,-3.058625,-0.2854567,0.0464237,0.9572666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.256381,0.6982563,3.043494,1.355308,-0.2872441,-3.067498,0.07166696,-0.01787774,-0.01075574,0.9972104,8.1954,357.8463,358.6098,0.4025455,-0.08550011,-0.9113979,0,0,0,0.7628841,-0.1836757,-1.140181,-0.5253845,0.3633094,1.915,0.9991294,-0.02401396,0.03411407,0.01888899,0.9894963,0.1433186,-0.0371974,-0.1425495,0.9890885,moving,-16.60457,2.776447,-15.34174,10.74235,-12.964285618125109,8.905656887033718,8.065379731563109,3.004285427371023,7.808463072330567
05/17/2023 14:28:29.455738,222,True,True,True,True,Eyes,1.350232,-0.2870577,-3.058622,-0.2840029,0.04532773,0.9577514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.256823,0.6987215,3.043177,1.355256,-0.2872097,-3.067497,0.07170122,-0.01777918,-0.01063466,0.997211,8.199735,357.8586,358.6245,0.4025305,-0.08550395,-0.9114043,0,0,0,0.7677816,-0.1861614,-1.140035,-0.5215113,0.360631,1.915,0.9991416,-0.02375958,0.03393415,0.01866042,0.9894917,0.1433806,-0.03698422,-0.1426243,0.9890857,moving,-16.51672,2.709629,-15.23391,10.66498,-12.876057233744897,8.83948556559971,8.058114607605244,2.9819288384136993,7.805038049978341
05/17/2023 14:28:29.475789,223,True,True,True,True,Eyes,1.350126,-0.2870704,-3.058619,-0.2826836,0.0441348,0.9581973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.256303,0.6987146,3.043393,1.355247,-0.2872619,-3.067495,0.07163597,-0.01784241,-0.0105119,0.9972159,8.192417,357.8524,358.6383,0.4025144,-0.08550789,-0.911411,0,0,0,0.7716993,-0.1902944,-1.140278,-0.5177005,0.3579958,1.915,0.9991423,-0.02352158,0.03407941,0.01840895,0.9895156,0.1432482,-0.03709153,-0.1424979,0.9890999,moving,-16.4369,2.637194,-15.12771,10.58882,-12.79576660327322,8.767542018938617,8.058680692270666,2.958887204649184,7.809182396839693
05/17/2023 14:28:29.486163,224,True,True,True,True,Eyes,1.350026,-0.2870852,-3.058615,-0.2814181,0.04298999,0.9586218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.255699,0.6985505,3.043694,1.355242,-0.2872503,-3.067511,0.07161144,-0.01794099,-0.01052387,0.9972157,8.18944,357.8409,358.6361,0.4024974,-0.08551193,-0.9114181,0,0,0,0.7760599,-0.1948076,-1.140249,-0.5137175,0.3552415,1.915,0.9991348,-0.0235587,0.03427481,0.01841958,0.9895221,0.1432017,-0.03728933,-0.1424465,0.9890999,moving,-16.36041,2.567744,-15.0166,10.50918,-12.718825207732245,8.698562666853007,8.054329957122196,2.9254237510270986,7.808887654879437
05/17/2023 14:28:29.505738,225,True,True,True,True,Eyes,1.34991,-0.2870987,-3.058612,-0.2801031,0.04177055,0.9590608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.255575,0.6985859,3.04369,1.355278,-0.2873171,-3.067444,0.07160196,-0.01796532,-0.01051204,0.9972162,8.188344,357.8383,358.6373,0.4024795,-0.08551612,-0.9114257,0,0,0,0.7801108,-0.1986076,-1.140371,-0.5098754,0.3525846,1.915,0.9991335,-0.02353826,0.03432525,0.01839285,0.9895253,0.143183,-0.03733598,-0.1424275,0.9891008,moving,-16.28096,2.493861,-14.90931,10.43231,-12.638887462586764,8.625154219200972,8.056078217600732,2.901832268493356,7.814154026433727
05/17/2023 14:28:29.515617,226,True,True,True,True,Eyes,1.3498,-0.2871116,-3.058605,-0.2788334,0.04059741,0.9594809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.255305,0.6981437,3.04397,1.355306,-0.287297,-3.0675,0.07153638,-0.01801514,-0.01052936,0.9972198,8.180704,357.8325,358.6351,0.4024606,-0.08552041,-0.9114336,0,0,0,0.7843003,-0.2018626,-1.140439,-0.5061306,0.349995,1.915,0.9991292,-0.02357765,0.03442364,0.01842269,0.9895434,0.1430544,-0.03743657,-0.1422956,0.989116,moving,-16.20432,2.422845,-14.80464,10.35735,-12.561779714640837,8.554598068873368,8.057013944224312,2.87755743380079,7.818537609652886
