,Unnamed: 0,Unnamed: 0.1,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
10,10,311,05/04/2023 16:30:14.612655,512,True,True,True,True,Eyes,1.354778,-0.2907108,-3.028492,0.3110894,-0.1206288,0.9426941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514759,-0.05964759,2.98104,1.368281,-0.2894691,-3.037872,-0.055909,0.02413269,-0.004146465,0.9981357,353.6034,2.805389,359.3672,0.4068676,-0.08726384,-0.9093091,0,0,0,2.02983,-0.5416282,-1.112108,0.5746002,-0.4608002,1.915001,0.9988008,-0.01097594,-0.04771174,0.005579,0.993714,-0.1118097,0.04863904,0.1114094,0.9925836,static,18.26291,-7.292038,16.70199,-13.52968,16.136265030228035,-2.4819387179802987,6.429980479485456,11.0622164223932,6.242316953339226
11,11,312,05/04/2023 16:30:14.633038,513,True,True,True,True,Eyes,1.354743,-0.2907175,-3.028486,0.3116314,-0.1212638,0.9424335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513527,-0.06020251,2.981726,1.36831,-0.2895123,-3.037925,-0.05603414,0.02392345,-0.004079441,0.9981339,353.5887,2.780981,359.3759,0.4068597,-0.0872664,-0.9093124,0,0,0,2.030975,-0.5429704,-1.112573,0.5746005,-0.4608002,1.915001,0.998822,-0.01082472,-0.04730044,0.005462596,0.993687,-0.1120543,0.04821479,0.111664,0.9925757,static,18.29733,-7.332018,16.702,-13.52967,16.168350492180547,-2.5144596041393656,6.399685001779696,11.028129572247153,6.21525297805858
12,12,313,05/04/2023 16:30:14.642566,514,True,True,True,True,Eyes,1.354753,-0.2907233,-3.028485,0.3121035,-0.1219692,0.9421862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513699,-0.06106421,2.981538,1.368349,-0.2894944,-3.037828,-0.05618555,0.02394782,-0.004059537,0.998125,353.5714,2.783801,359.3776,0.4068518,-0.08726896,-0.9093158,0,0,0,2.031934,-0.5441236,-1.113129,0.5746002,-0.4608002,1.915001,0.9988201,-0.01079489,-0.04734965,0.005412807,0.9936534,-0.1123548,0.04826201,0.111966,0.9925393,static,18.32769,-7.376114,16.70198,-13.52967,16.197263531313908,-2.5504156841420027,6.36468258825497,10.99084910487126,6.183509953335141
13,13,314,05/04/2023 16:30:14.652924,515,True,True,True,True,Eyes,1.354762,-0.2907332,-3.028481,0.3125639,-0.1226579,0.9419442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513442,-0.06154045,2.981718,1.368382,-0.2894824,-3.037872,-0.05624817,0.02389797,-0.004085225,0.9981224,353.5642,2.778286,359.3748,0.4068449,-0.08727143,-0.9093186,0,0,0,2.032863,-0.5436749,-1.1134,0.5746002,-0.4608002,1.915001,0.9988244,-0.01084354,-0.04724663,0.005466674,0.9936389,-0.1124804,0.04816578,0.1120899,0.99253,static,18.35731,-7.419184,16.70199,-13.52967,16.22547522191672,-2.585535544051009,6.330728509310441,10.954503426610522,6.152749780694115
14,14,315,05/04/2023 16:30:14.682933,516,True,True,True,True,Eyes,1.354766,-0.2907419,-3.028481,0.31305,-0.1233102,0.9416975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514313,-0.06144649,2.981249,1.368378,-0.2895919,-3.037835,-0.05616114,0.02403752,-0.004281008,0.9981232,353.5748,2.795539,359.3516,0.406839,-0.08727394,-0.909321,0,0,0,2.033443,-0.5431216,-1.113513,0.5746001,-0.4608002,1.915001,0.9988077,-0.0112459,-0.04750396,0.005845997,0.9936552,-0.1123173,0.04846566,0.1119057,0.9925362,static,18.38844,-7.460127,16.70198,-13.52967,16.254825478093693,-2.618886957873568,6.29948407097351,10.919942021769849,6.124651101656505
15,15,316,05/04/2023 16:30:14.698061,517,True,True,True,True,Eyes,1.354766,-0.2907477,-3.028485,0.3135171,-0.1239155,0.9414627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514779,-0.06053028,2.981111,1.368338,-0.2895778,-3.037933,-0.05592353,0.02411462,-0.004456464,0.9981339,353.6026,2.805316,359.3316,0.4068338,-0.08727647,-0.9093231,0,0,0,2.033895,-0.5434438,-1.113691,0.5746,-0.4608002,1.915001,0.9987972,-0.01159345,-0.0476408,0.006199147,0.9937055,-0.1118532,0.04863769,0.1114234,0.9925821,static,18.41831,-7.498178,16.70198,-13.52967,16.282902174879936,-2.649871844447317,6.2709396755959945,10.88786637174956,6.099073322740597
16,16,317,05/04/2023 16:30:14.712782,518,True,True,True,True,Eyes,1.354805,-0.2907562,-3.02849,0.3137968,-0.1244251,0.9413023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.514265,-0.06080678,2.98139,1.368228,-0.2895067,-3.038013,-0.05610012,0.0240579,-0.004151952,0.9981266,353.5815,2.796995,359.3665,0.406829,-0.0872789,-0.909325,0,0,0,2.034161,-0.5431817,-1.113699,0.5746002,-0.4608002,1.915001,0.998808,-0.01098765,-0.04755981,0.005589047,0.9936711,-0.1121898,0.0484915,0.1117903,0.992548,static,18.43656,-7.529933,16.70198,-13.52967,16.300646161657813,-2.6758064166050497,6.2454472894716675,10.861280934436119,6.075805096721141
17,17,318,05/04/2023 16:30:14.722443,519,True,True,True,True,Eyes,1.354844,-0.2907631,-3.028493,0.3140623,-0.1249247,0.9411475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51372,-0.06029865,2.981663,1.368215,-0.2895792,-3.037997,-0.05608178,0.02397272,-0.004035627,0.9981302,353.5832,2.786417,359.3805,0.4068257,-0.08728129,-0.9093263,0,0,0,2.033676,-0.542878,-1.113442,0.5746002,-0.4608002,1.915001,0.998818,-0.01074503,-0.04740315,0.005367295,0.9936771,-0.1121473,0.04830845,0.1117603,0.9925603,static,18.45393,-7.561049,16.70199,-13.52968,16.31759639378432,-2.7012249872571354,6.220438069602576,10.835275557524856,6.052950219555997
18,18,319,05/04/2023 16:30:14.752777,520,True,True,True,True,Eyes,1.354905,-0.2907678,-3.028496,0.3143659,-0.1252747,0.9409997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513308,-0.0594759,2.981935,1.368232,-0.2895797,-3.038036,-0.05598152,0.02390308,-0.003955685,0.9981379,353.5944,2.777789,359.3904,0.4068235,-0.0872836,-0.909327,0,0,0,2.033038,-0.5431309,-1.113299,0.5746,-0.4608002,1.915001,0.998826,-0.0105729,-0.04727425,0.005220375,0.9937009,-0.1119436,0.04816003,0.1115654,0.9925894,static,18.47326,-7.583163,16.70198,-13.52967,16.33559187473617,-2.7192098146290604,6.204706144488149,10.81666721674586,6.039030554959377
19,19,320,05/04/2023 16:30:14.794660,521,True,True,True,True,Eyes,1.354964,-0.2907746,-3.028504,0.3146455,-0.1256055,0.9408621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.513178,-0.06006199,2.981926,1.368285,-0.2895029,-3.037957,-0.05603839,0.02387112,-0.004014807,0.9981352,353.588,2.774542,359.3836,0.4068231,-0.08728574,-0.909327,0,0,0,2.033022,-0.5430067,-1.113257,0.5746,-0.4608002,1.915001,0.9988281,-0.01069004,-0.04720324,0.005339242,0.9936871,-0.1120595,0.04810317,0.1116761,0.9925798,static,18.4911,-7.604053,16.70198,-13.52967,16.352233537603944,-2.7362040032123414,6.189821257927323,10.799131021141005,6.025832170674459
